,title,director
3274,Glory,Edward Zwick
3275,Parker,Taylor Hackford
3276,Galaxy Quest,Dean Parisot
3277,Dog Day Afternoon,Sidney Lumet
3278,I Am Number Four,D.J. Caruso
3279,Crank: High Voltage,Mark Neveldine
3279,Crank: High Voltage,Brian Taylor
3280,Armageddon,Michael Bay
3281,Philadelphia,Jonathan Demme
3282,White House Down,Roland Emmerich
3283,8 Mile,Curtis Hanson
3284,Green Lantern,Martin Campbell
3285,Sin City: A Dame to Kill For,Frank Miller
3285,Sin City: A Dame to Kill For,Robert Rodriguez
3286,I Know What You Did Last Summer,Jim Gillespie
3287,Saving Mr. Banks,John Lee Hancock
3288,Next,Lee Tamahori
3289,Jumanji,Joe Johnston
3290,Once Upon a Time in the West,Sergio Leone
3291,Wanted,Timur Bekmambetov
3292,How to Train Your Dragon 2,Dean DeBlois
3293,Bad Boys,Michael Bay
3294,Ad Astra,James Gray
3295,Home Alone,Chris Columbus
3296,John Wick: Chapter 3 - Parabellum,Chad Stahelski
3297,Transformers: The Last Knight,Michael Bay
3298,What Women Want,Nancy Meyers
3299,50 First Dates,Peter Segal
3300,How the Grinch Stole Christmas,Ron Howard
3301,Grown Ups 2,Dennis Dugan
3302,Ocean's Thirteen,Steven Soderbergh
3303,Carrie.1,Brian De Palma
3304,Predator 2,Stephen Hopkins
3305,Austin Powers in Goldmember,Jay Roach
3306,The Longest Yard,Peter Segal
3307,Atonement,Joe Wright
3308,"Lock, Stock and Two Smoking Barrels",Guy Ritchie
3309,We're the Millers,Rawson Marshall Thurber
3310,The Judge,David Dobkin
3311,Oblivion,Joseph Kosinski
3312,Erin Brockovich,Steven Soderbergh
3313,Fracture,Gregory Hoblit
3314,Rambo: First Blood Part II,George P. Cosmatos
3315,Melancholia,Lars von Trier
3316,The Chronicles of Narnia: Prince Caspian,Andrew Adamson
3317,Dirty Grandpa,Dan Mazer
3318,Rushmore,Wes Anderson
3319,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu
3320,Finding Nemo,Andrew Stanton
3320,Finding Nemo,Lee Unkrich
3321,Rocky Balboa,Sylvester Stallone
3322,Safety Not Guaranteed,Colin Trevorrow
3323,The Day the Earth Stood Still.1,Scott Derrickson
3324,Tower Heist,Brett Ratner
3325,M,Fritz Lang
3326,Alice in Wonderland.1,Tim Burton
3327,Conan the Barbarian.1,John Milius
3328,Pitch Black,David Twohy
3329,Enchanted,Kevin Lima
3330,Forgetting Sarah Marshall,Nicholas Stoller
3331,Shrek,Andrew Adamson
3331,Shrek,Vicky Jenson
3332,Alien 3,David Fincher
3333,Winter's Bone,Debra Granik
3334,The Notebook,Nick Cassavetes
3335,RoboCop.1,Paul Verhoeven
3336,The Wolverine,James Mangold
3337,The Post,Steven Spielberg
3338,The Devil's Advocate,Taylor Hackford
3339,What Happens in Vegas,Tom Vaughan
3340,Begin Again,John Carney
3341,Death Proof,Quentin Tarantino
3342,Bicycle Thieves,Vittorio De Sica
3343,47 Ronin,Carl Rinsch
3344,Kick-Ass 2,Jeff Wadlow
3345,No Country for Old Men,Ethan Coen
3345,No Country for Old Men,Joel Coen
3346,Fantastic Beasts: The Crimes of Grindelwald,David Yates
3347,The Tourist,Florian Henckel von Donnersmarck
3348,Arrival,Denis Villeneuve
3349,Accepted,Steve Pink
3350,The Bourne Identity,Doug Liman
3351,Insomnia,Christopher Nolan
3352,Downfall,Oliver Hirschbiegel
3353,Slumdog Millionaire,Danny Boyle
3353,Slumdog Millionaire,Loveleen Tandan
3354,Yesterday,Danny Boyle
3355,Minions,Kyle Balda
3355,Minions,Pierre Coffin
3356,Yojimbo,Akira Kurosawa
3357,The League of Extraordinary Gentlemen,Stephen Norrington
3358,Burn After Reading,Ethan Coen
3358,Burn After Reading,Joel Coen
3359,Captain Marvel,Anna Boden
3359,Captain Marvel,Ryan Fleck
3360,X-Men Origins: Wolverine,Gavin Hood
3361,Silent Hill,Christophe Gans
3362,Payback,Brian Helgeland
3363,Schindler's List,Steven Spielberg
3364,Ransom,Ron Howard
3365,Scarface,Brian De Palma
3366,Gone with the Wind,Victor Fleming
3366,Gone with the Wind,George Cukor
3366,Gone with the Wind,Sam Wood
3367,The Man from Earth,Richard Schenkman
3368,Tangled,Nathan Greno
3368,Tangled,Byron Howard
3369,12 Angry Men,Sidney Lumet
3370,"Definitely, Maybe",Adam Brooks
3371,Bronson,Nicolas Winding Refn
3372,The Proposal,Anne Fletcher
3373,Harry Potter and the Order of the Phoenix,David Yates
3374,Moana,Ron Clements
3374,Moana,John Musker
3374,Moana,Don Hall
3375,Aliens vs. Predator: Requiem,Colin Strause
3375,Aliens vs. Predator: Requiem,Greg Strause
3376,No Strings Attached,Ivan Reitman
3377,The Imitation Game,Morten Tyldum
3378,Into the Woods,Rob Marshall
3379,Thank You for Smoking,Jason Reitman
3380,The Descendants,Alexander Payne
3381,Mars Attacks!,Tim Burton
3382,The Talented Mr. Ripley,Anthony Minghella
3383,The Nightmare Before Christmas,Henry Selick
3384,Mary Poppins,Robert Stevenson
3385,"10,000 BC",Roland Emmerich
3386,The Meg,Jon Turteltaub
3387,Lion,Garth Davis
3388,1408,Mikael Håfström
3389,G.I. Joe: Retaliation,Jon M. Chu
3390,Tropic Thunder,Ben Stiller
3391,Space Jam,Joe Pytka
3392,Zombieland: Double Tap,Ruben Fleischer
3393,The Sound of Music,Robert Wise
3394,Life as We Know It,Greg Berlanti
3395,Wayne's World,Penelope Spheeris
3396,Apocalypse Now,Francis Ford Coppola
3397,Nightcrawler,Dan Gilroy
3398,Scary Movie 3,David Zucker
3399,Straight Outta Compton,F. Gary Gray
3400,Lone Survivor,Peter Berg
3401,Birds of Prey,Cathy Yan
3402,The Incredible Hulk,Louis Leterrier
3403,Hotel Transylvania 2,Genndy Tartakovsky
3404,Suicide Squad,David Ayer
3405,Assassin's Creed,Justin Kurzel
3406,Black Mirror: Bandersnatch,David Slade
3407,The Lego Movie,Christopher Miller
3407,The Lego Movie,Phil Lord
3408,Godzilla: King of the Monsters,Michael Dougherty
3409,Godzilla vs. Kong,Adam Wingard
3410,Chronicle,Josh Trank
3411,P.S. I Love You,Richard LaGravenese
3412,The Hunger Games: Mockingjay - Part 2,Francis Lawrence
3413,The Skin I Live In,Pedro Almodóvar
3414,How to Train Your Dragon: The Hidden World,Dean DeBlois
3415,The Running Man,Paul Michael Glaser
3416,London Has Fallen,Babak Najafi
3417,Jack Ryan: Shadow Recruit,Kenneth Branagh
3418,Magnolia,Paul Thomas Anderson
3419,Shrek 2,Andrew Adamson
3419,Shrek 2,Kelly Asbury
3419,Shrek 2,Conrad Vernon
3420,Uncut Gems,Benny Safdie
3420,Uncut Gems,Josh Safdie
3421,Robin Hood: Men in Tights,Mel Brooks
3422,The Legend of Tarzan,David Yates
3423,Hostel,Eli Roth
3424,Hell or High Water,David Mackenzie
3425,"Crazy, Stupid, Love.",Glenn Ficarra
3425,"Crazy, Stupid, Love.",John Requa
3426,Shazam!,David F. Sandberg
3427,Billy Elliot,Stephen Daldry
3428,Noah,Darren Aronofsky
3429,Manchester by the Sea,Kenneth Lonergan
3430,Sucker Punch,Zack Snyder
3431,The Lord of the Rings: The Two Towers,Peter Jackson
3432,Another Round,Thomas Vinterberg
3433,The Breakfast Club,John Hughes
3434,Cars 2,John Lasseter
3434,Cars 2,Bradford Lewis
3435,The Sixth Sense,M. Night Shyamalan
3436,Cowboys & Aliens,Jon Favreau
3437,Eastern Promises,David Cronenberg
3438,Dear John,Lasse Hallström
3439,Aladdin,Guy Ritchie
3440,Chinatown,Roman Polanski
3441,Legally Blonde,Robert Luketic
3442,Bill & Ted's Excellent Adventure,Stephen Herek
3443,The Fate of the Furious,F. Gary Gray
3444,Split,M. Night Shyamalan
3445,The Founder,John Lee Hancock
3446,Journey to the Center of the Earth,Eric Brevig
3447,Never Let Me Go,Mark Romanek
3448,Gladiator,Ridley Scott
3449,Soul,Pete Docter
3449,Soul,Kemp Powers
3450,The Place Beyond the Pines,Derek Cianfrance
3451,Collateral,Michael Mann
3452,Murder on the Orient Express.1,Kenneth Branagh
3453,The Fly,David Cronenberg
3454,Carol,Todd Haynes
3455,Ed Wood,Tim Burton
3456,Warrior,Gavin O'Connor
3457,Wonder Woman 1984,Patty Jenkins
3458,Twilight,Catherine Hardwicke
3459,Men in Black II,Barry Sonnenfeld
3460,Disturbia,D.J. Caruso
3461,Kiss Kiss Bang Bang,Shane Black
3462,Men in Black,Barry Sonnenfeld
3463,Who Framed Roger Rabbit,Robert Zemeckis
3464,The Emperor's New Groove,Mark Dindal
3465,Die Hard,John McTiernan
3466,Shooter,Antoine Fuqua
3467,The Shining,Stanley Kubrick
3468,Shark Tale,Bibo Bergeron
3468,Shark Tale,Vicky Jenson
3468,Shark Tale,Rob Letterman
3469,Looper,Rian Johnson
3470,Rush Hour 3,Brett Ratner
3471,S.W.A.T.,Clark Johnson
3472,Big Trouble in Little China,John Carpenter
3473,Antz,Eric Darnell
3473,Antz,Tim Johnson
3474,16 Blocks,Richard Donner
3475,The Da Vinci Code,Ron Howard
3476,The Seventh Seal,Ingmar Bergman
3477,The Graduate,Mike Nichols
3478,You Don't Mess with the Zohan,Dennis Dugan
3479,Romeo + Juliet,Baz Luhrmann
3480,Starship Troopers,Paul Verhoeven
3481,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson
3482,300,Zack Snyder
3483,Modern Times,Charles Chaplin
3484,Van Helsing,Stephen Sommers
3485,The Twilight Saga: New Moon,Chris Weitz
3486,Transformers: Age of Extinction,Michael Bay
3487,The Batman,Matt Reeves
3488,Green Zone,Paul Greengrass
3489,The Ghost Writer,Roman Polanski
3490,Predator,John McTiernan
3491,Die Hard 2,Renny Harlin
3492,Goldfinger,Guy Hamilton
3493,Terminator Genisys,Alan Taylor
3494,Jeepers Creepers,Victor Salva
3495,Barry Lyndon,Stanley Kubrick
3496,Transcendence,Wally Pfister
3497,Matchstick Men,Ridley Scott
3498,Terminator 3: Rise of the Machines,Jonathan Mostow
3499,3 Idiots,Rajkumar Hirani
3500,Borat Subsequent Moviefilm,Jason Woliner
3501,Fight Club,David Fincher
3502,Rio,Carlos Saldanha
3503,Star Wars: Episode VI - Return of the Jedi,Richard Marquand
3504,Batman Returns,Tim Burton
3505,Bohemian Rhapsody,Bryan Singer
3506,Everest,Baltasar Kormákur
3507,Resident Evil: Retribution,Paul W.S. Anderson
3508,The Dictator,Larry Charles
3509,Enola Holmes,Harry Bradbeer
3510,Mama,Andy Muschietti
3511,Avengers: Endgame,Anthony Russo
3511,Avengers: Endgame,Joe Russo
3512,Blue Is the Warmest Colour,Abdellatif Kechiche
3513,Despicable Me,Pierre Coffin
3513,Despicable Me,Chris Renaud
3514,Oculus,Mike Flanagan
3515,Bridge to Terabithia,Gabor Csupo
3516,Murder Mystery,Kyle Newacheck
3517,Mortal Engines,Christian Rivers
3518,Irreversible,Gaspar Noé
3519,Memories of Murder,Bong Joon Ho
3520,A Serious Man,Ethan Coen
3520,A Serious Man,Joel Coen
3521,Mother!,Darren Aronofsky
3522,Close Encounters of the Third Kind,Steven Spielberg
3523,Independence Day: Resurgence,Roland Emmerich
3524,Liar Liar,Tom Shadyac
3525,Paths of Glory,Stanley Kubrick
3526,The Revenant,Alejandro G. Iñárritu
3527,Syriana,Stephen Gaghan
3528,Mission: Impossible - Fallout,Christopher McQuarrie
3529,Minority Report,Steven Spielberg
3530,American History X,Tony Kaye
3531,Rebecca,Alfred Hitchcock
3532,Hot Fuzz,Edgar Wright
3533,Sherlock Holmes: A Game of Shadows,Guy Ritchie
3534,The Green Hornet,Michel Gondry
3535,The Boy in the Striped Pajamas,Mark Herman
3536,Anger Management,Peter Segal
3537,The Grey,Joe Carnahan
3538,Date Night,Shawn Levy
3539,Rashomon,Akira Kurosawa
3540,War Dogs,Todd Phillips
3541,Indiana Jones and the Last Crusade,Steven Spielberg
3542,Friday the 13th.1,Sean S. Cunningham
3543,Ocean's Eight,Gary Ross
3544,Resident Evil: Apocalypse,Alexander Witt
3545,Planet of the Apes.1,Tim Burton
3546,Howl's Moving Castle,Hayao Miyazaki
3547,We Need to Talk About Kevin,Lynne Ramsay
3548,Fantastic Beasts and Where to Find Them,David Yates
3549,The 40-Year-Old Virgin,Judd Apatow
3550,Freaky Friday,Mark Waters
3551,The Lobster,Yorgos Lanthimos
3552,Mr. Brooks,Bruce A. Evans
3553,Final Destination 3,James Wong
3554,John Wick,Chad Stahelski
3554,John Wick,David Leitch
3555,Solo: A Star Wars Story,Ron Howard
3556,Fantastic Four.1,Josh Trank
3556,Fantastic Four.1,Stephen E. Rivkin
3557,Resident Evil,Paul W.S. Anderson
3558,Stargate,Roland Emmerich
3559,Aladdin.1,Ron Clements
3559,Aladdin.1,John Musker
3560,Doctor Sleep,Mike Flanagan
3561,The Girl Next Door,Luke Greenfield
3562,Brave,Mark Andrews
3562,Brave,Brenda Chapman
3562,Brave,Steve Purcell
3563,The Twilight Saga: Breaking Dawn - Part 1,Bill Condon
3564,The Walk,Robert Zemeckis
3565,Cruel Intentions,Roger Kumble
3566,Gone Baby Gone,Ben Affleck
3567,Mulan.1,Tony Bancroft
3567,Mulan.1,Barry Cook
3568,Rampage,Brad Peyton
3569,He's Just Not That Into You,Ken Kwapis
3570,The Other Woman,Nick Cassavetes
3571,13 Going on 30,Gary Winick
3572,22 Jump Street,Phil Lord
3572,22 Jump Street,Christopher Miller
3573,Toy Story 2,John Lasseter
3573,Toy Story 2,Ash Brannon
3573,Toy Story 2,Lee Unkrich
3574,The Magnificent Seven.1,Antoine Fuqua
3575,The Thin Red Line,Terrence Malick
3576,The Strangers,Bryan Bertino
3577,Dunkirk,Christopher Nolan
3578,Ip Man,Wilson Yip
3579,The Drop,Michaël R. Roskam
3580,After Earth,M. Night Shyamalan
3581,The Hunt for Red October,John McTiernan
3582,The Lord of the Rings: The Return of the King,Peter Jackson
3583,Predators,Nimród Antal
3584,Body of Lies,Ridley Scott
3585,Rocky II,Sylvester Stallone
3586,The Exorcist,William Friedkin
3587,Underworld,Len Wiseman
3588,The Thing.1,Matthijs van Heijningen Jr.
3589,The Recruit,Roger Donaldson
3590,Sleepers,Barry Levinson
3591,Kung Fu Panda 3,Alessandro Carloni
3591,Kung Fu Panda 3,Jennifer Yuh Nelson
3592,Kill Bill: Vol. 2,Quentin Tarantino
3593,28 Days Later...,Danny Boyle
3594,Jason Bourne,Paul Greengrass
3595,Identity Thief,Seth Gordon
3596,Casper,Brad Silberling
3597,"Hail, Caesar!",Ethan Coen
3597,"Hail, Caesar!",Joel Coen
3598,Get Hard,Etan Cohen
3599,The Lost World: Jurassic Park,Steven Spielberg
3600,The Machinist,Brad Anderson
3601,San Andreas,Brad Peyton
3602,Darkest Hour,Joe Wright
3603,Molly's Game,Aaron Sorkin
3604,13 Hours,Michael Bay
3605,Amadeus,Milos Forman
3606,The Illusionist,Neil Burger
3607,The Great Escape,John Sturges
3608,An Education,Lone Scherfig
3609,Mulholland Drive,David Lynch
3610,Pokémon Detective Pikachu,Rob Letterman
3611,Bad Teacher,Jake Kasdan
3612,The Silence of the Lambs,Jonathan Demme
3613,The Disaster Artist,James Franco
3614,Up,Pete Docter
3614,Up,Bob Peterson
3615,Don't Breathe,Fede Alvarez
3616,The Raid 2,Gareth Evans
3617,Limitless,Neil Burger
3618,Bad Boys II,Michael Bay
3619,Daybreakers,Michael Spierig
3619,Daybreakers,Peter Spierig
3620,The Number 23,Joel Schumacher
3621,Jurassic Park III,Joe Johnston
3622,Horton Hears a Who!,Jimmy Hayward
3622,Horton Hears a Who!,Steve Martino
3623,Capote,Bennett Miller
3624,For a Few Dollars More,Sergio Leone
3625,The Kashmir Files,Vivek Agnihotri
3626,It Chapter Two,Andy Muschietti
3627,Avengers: Infinity War,Anthony Russo
3627,Avengers: Infinity War,Joe Russo
3628,X-Men: Apocalypse,Bryan Singer
3629,Kubo and the Two Strings,Travis Knight
3630,Boogie Nights,Paul Thomas Anderson
3631,Deepwater Horizon,Peter Berg
3632,The Dark Tower,Nikolaj Arcel
3633,Beauty and the Beast.1,Gary Trousdale
3633,Beauty and the Beast.1,Kirk Wise
3634,Steve Jobs,Danny Boyle
3635,Ice Age 4: Continental Drift,Steve Martino
3635,Ice Age 4: Continental Drift,Michael Thurmeier
3636,The Simpsons Movie,David Silverman
3637,GoldenEye,Martin Campbell
3638,Milk,Gus Van Sant
3639,Contagion,Steven Soderbergh
3640,Green Street Hooligans,Lexi Alexander
3641,American Beauty,Sam Mendes
3642,Wild Tales,Damián Szifron
3643,Grease,Randal Kleiser
3644,One Day,Lone Scherfig
3645,Harry Potter and the Deathly Hallows: Part 1,David Yates
3646,The Grudge,Takashi Shimizu
3647,Spaceballs,Mel Brooks
3648,Remember Me,Allen Coulter
3649,The Amazing Spider-Man 2,Marc Webb
3650,Enemy at the Gates,Jean-Jacques Annaud
3651,The Secret Life of Walter Mitty,Ben Stiller
3652,War of the Worlds,Steven Spielberg
3653,The Polar Express,Robert Zemeckis
3654,Ted 2,Seth MacFarlane
3655,Carlito's Way,Brian De Palma
3656,Mr. Deeds,Steven Brill
3657,The Brothers Grimm,Terry Gilliam
3658,Bambi,James Algar
3658,Bambi,Samuel Armstrong
3658,Bambi,David Hand
3659,Hulk,Ang Lee
3660,Ice Age 3: Dawn of the Dinosaurs,Carlos Saldanha
3660,Ice Age 3: Dawn of the Dinosaurs,Michael Thurmeier
3661,The Equalizer 2,Antoine Fuqua
